comment,sentiment,length
ab jerry lewis ne nbc ka rukh kiya aur ghante ke variety show ka aaghaz kiya jise khatir khuwa kamiyabi hasil hui aur yeh show baras tak telecast hota raha,positive,155
ab jerry lewis ne columbia pictures ke banner taley producing shuru ki aur kae maqbool comedy films banai,positive,105
usi dauran inho ne university of southern california mein film direction ka mazmoon parhana shuru kar diya,positive,106
tahum doctors ki mehnat aur jerry lewis ki himmat ne khuda ki mansha ke sath mil kar aisa hone na diya,positive,102
hollywood ke baaz deegar superstars ki tarah jerry lewis bhi rafahi kamon mein barh charh kar hissa lete hain,positive,109
is hawale se in ka kehna tha ke in ke nazdeek sab se barha aezaaz koi award nahi bal ke maddahon ki taraf se milne wali pazeerai hai,positive,132
kaha jata hai ke logon ko hansana duniya ke chand mushkil tareen kamon mein se aik hai tahum hollywood ke yeh legendary comedian actor baras se bhi zaiyd arsey se logon ke faces par muskurahat bikherne ka fariza bahusun o khobi anjaam de rahe hain,positive,247
un hi ki rafaqat ki wajah se saal ki umar mein nisar bazmi nohat se ragon par abor hasil kar chuke the,positive,102
is kheel ke sare geet super hit howae aur is ke sath hi kamyabi ne un ke qadam chomme,positive,85
ye saal un ki zindagi ka sunheri saal sabit howa,positive,48
rafi ki awaz mein fil khoj ka gana chand ka dil tot gaya rone lage sitare ke ashre ke akhiri barson mein all india radio se khub khub chala,positive,139
is hesiyat mein unhon ne pheli bar anand bakhshi ko bator nagma nigar film bhola admi mein mutarif karwaya aur kaliyan ji anand ji jori ko sazindon ki jagah se utha kar mosiqaron ki saf mein shamil karane mein aham kirdar ada kiya,positive,230
mumbai mein wo aik naamwar mosikar shumar hote the aur lakshmi kant piyare lal jese musician un ki muawnat mein kaam kar chuke the,positive,130
baras ki shaded jido jehad ke bad unhen afzal ahmed karem fazli ne apni film esa bhi hota hai ke leye muntakhib kiya,positive,116
film to mein release hoi lekin noor jahan ka gana ho tamana aur kia jan e tamana aap hain waba ki tarah pore mulk mein phel gaya,positive,128
chalo acha howa tum bhol gaye is gane ne aag laga di aur isi baras mehdi hassan ki awaz mein nfilm aag ka gana yun zindagi ki rah mein takra gaya koi release howa,positive,162
pakistan aane ke bad chand hi baras ke arse mein unhon ne bator mosikar aik muziz muqam hasil kar leya,positive,102
kyun ke ghazal ki gaiki ke leye darker neem classical dhunon se le kar fok aur pop music ki dharakti pharakti composition tak unhein har tarah ki bandishon mein kamal hasil tha,positive,176
mehdi hasan aur noor jahan jese manjhe howe golokaron ke sath sath rona laila aur ikhlaq ahmed jesi nikhez awazon ko bhi nikharne sawarne ka muqa diya,positive,150
madam ne missal dete howe kaha ke nisar bazmi sahib ki rehearsal par mein hameshah waqat se phele pohanchti hun aur suron ke utar charhao ki mashq karti hun kyun ke wo aik azeem mosikar hain aur fan ki barikiyon se na sirf khud aagah hain balke dosron ko samjhane ki salahiyat bhi rahte hain,positive,291
baqol nisar bazmi ye meri janib se aik bare mosikar ko khiraj e tehseen tha,positive,75
is se phele bazmi sahib ne th class ki aik saala bangali talba rona laila ko daryaft kiya aur film aasra mein ye gana gavawa nena taras gaye piya aaye na sari raat jab bazmi sahib nag mani ka gana sajna re compose kar rahe the to un ke zehan mein rona laila ki awaz thi,positive,269
bazmi sahib phir bhi mutmain na howae lekin jab ye gana super hit howa tab un ka mode durust howa,positive,97
ye film kuch itni kamyab hoi ye is ne salman khan ko raaton raat super star bana deya isi film ke leye salman khan ko behtareen naye adakar ka film fare award diya gaya jab ke isi ke sath un ko behtareen markazi kirdar ke leye bhi naamzad kiya gaya tha,positive,252
is film ki yadgar kamyabi ka andazah is baat se bhi lagaya ja sakta hai ke ese english aur hispanwi zabanon mein dab kar ke mukhtalif mumalik mein numaish ke leye pesh kiya gaya aur is ne har jagah record kamyabi hasil ki,positive,221
mein salman khan ki film baghi release hoi aur ye bhi box office par hit hai gai,positive,80
ye film box office par super hit rahi is ke sath naqadeen ne bhi bohat pasand kiya,positive,82
yun salman khan aik mustanid super star ban gaye lekin aane wale do baras salman ke career ke leye ache sabit na howae,positive,118
ke awail mein andaz apna apna ne aik bar phir salman khan ko kamyabi ki shahrah par gamzan kar diya,positive,99
mein hi release hone wali film hum aapke hain koun block buster sabit hoi is film ke hisse mein kai awards bhi aaye,positive,115
alami satah par is film ne arab bharti rupe taqreban million american dollar ka business kiya,positive,93
ye film us waqat tak ki sab se ziyadah business karne wali film qarar pai aur baras tak cinema gharon ki zenat bani rahi,positive,120
mein salman aur shahrukh khan ki filn karan arjun release hoi jise osat satah ki pazirai mili,positive,93
tahum salman ke career par is ke bais kisi kism ke manfi asrat nahi pare,positive,72
agar cha ye filmein box office par ziyadah acha tassur na chor sakein lekin salman ka shumar batadrij saf e awal ke adakaron mein hone laga,positive,139
mein karan johar ki film kuch kuch hota hai saal ki behtareen film qarar pai is film mein salman khan ne bator mehman adakar ke tor par kaam kiya lekin unhon ne ye mukhtasir kirdar is khubi se ada kiya ke behtareen mawin adakar ke film fare award ke haqdar qarar paye,positive,267
tak salman ne kai filmon mein kaam kiya jin miens kuch kamyab hoein aur kuch ne nakami ka mun dekha lekin aik tamil film ke remake wanted ne shayad salman ke career ke zaren dor ka aghaz kar diya,positive,195
tak in ki filmon dabang body guard ready aik tha tiger aur dabang ne yak ke bad degare karor rupe ka business karne wali filmon ke club mein apni jagah banai aur jab karor rupe business karne wali filmon ka club qaim howa to is mein un ki filmein bhi shamil ho gaein aur wo salman khan ke sath sath dabang khan ke naam se bhi mashhor ho gaye,positive,341
salman khan ka filmi career nihayat shandar tasawor kiya jata hai,positive,65
tahum baras bad bhi ab tak un par ilzam sabit nahi ho saka,positive,58
filmi duniya mein aane ke bad wo kai falahi kaamon mein sharik rahe,positive,67
isi doran unhon ne aik rafahi tanzeem being human ki bunyad rakhi jo online aur mukhtalif stores par t shirts farokht karti hai aur is ki amdani se mashi mehromiyon ka shikar afrad ki madad ki jati hai,positive,201
mein in ngo ko aik trust ki shakal de di gai jo ghareb bachon ko taleem aur sehat ki saholatein farham karti hai,positive,112
is idare ke tehat banne wali filmon ki aamdani bhi falahi sargarmiyon mein istemal ki jati hai,positive,94
january mein salman khan ne lakh rupe ada kar ke un qediyon ko rehai dilwai jo mehaz jurmana ada na kar pane ki wajah se uthar pardesh ki jailon mein qed the,positive,157
salman khan ki zindagi par agar tairana nagah bhi dali jaye to ye andaza bakhobi ho jata haike bazahir chulbula sa nazar aane wala shakhs behtareen entertainer hone ke sath sath apne sene mein aik nihayat hasas aur dard mand dil bhi rakhta hai,positive,243
jab emma watson ko tilismati kahaniyon ke silsile harry potter par mabni films mein harmony granger ke role ke liye cast kiya gaya to inho ne yeh role is tarah play kiya ke aane wale barson mein yehi in ki shanakht ban gaya,positive,223
simple si ladki yeh role play kar ke kae kam umer girls ki role model bhi ban gai,positive,81
baras tak film beeno aur jaraiyd mein barhti hui maqboliyat ke sath is ne apne role ko ba khobi ada karte hue glamour ki chakachond kar dene wali duniya ke mutabiq khud ko munasib andaaz mein dhal liya hai,positive,205
filsm par mushtamil silsile ki pehli film ne maqboliyat ke tamam record torh diye aur zahir hai ke is ke sath he emma watson bhi raton raat famous ho gai,positive,153
in ki khud aitemadi aur makalmon ki adaiygi bohat pasand ki gai,positive,63
mein forbes magazine ne sab se ziyada qabil e qadar kam umer artists ki top of the list mein emma watson ko number par rakha,positive,124
emma watson apni zaati zindagi apne doston aur press se alag rakhti hai,positive,71
is ka naam abhi tak kisi celebrity ke sath nahi jorha ja saka hai,positive,65
emma watson ne modeling ke maidan mein bhi qismat aazmai hai lekin filhaal wo aik american university mein apni taleem mukammal kar rahi hai,positive,140
aik interview mein inho ne kaha tha mujhe shohrat nahi gumnami chahiye,positive,70
abhi wo aam talba o talbaat ki tarah zindagi guzaarna chahti hai aur filhal inho ne acting tark kar di hai,positive,106
apne career ke mustaqbil ka faisla wo taleem mukammal hone ke bad he karega,positive,75
jinhe beyk waqt urdu aur punjabi films mein kamiyabi mili thi,positive,61
aik mauseeqar gharane se talluq rakhne wale munir hussain ke sage mamo rasheed atrey pakistan ke azeem tareen mausiqar the jab ke in ke khala zaad bhai safdar hussain bhi aik aala paaey ke mausiqar sabit hue,positive,207
munir hussain ko apni pehli he naghmati film saat lakh ke famous zamana sada bahaar geet qarar lautne wale to pyar ko tarsey ki recording ke liye in ke mamo rasheed atrey ne barhi tayyari karwai thi aur aaghaz he barha dhamaka khez sabit hua tha,positive,245
jo is se qabal film heer aur ishq laila ke shahkar geeton ki wajah se suf awwal ke singer ban chuke the,positive,103
dila thehar ja yaar da nazara leyn de munir hussain ke filmy career ka sab se maqbool tareen filmy geet tha,positive,107
yeh sureela geet bhi mamo bhanjey rasheed atrey aur munir hussain ki mushtarka peshkash thi,positive,91
munir hussain saleem raza aur mehdi hassan ki tarha classical mauseeqi par aboor rakhte the,positive,91
lekin in dono se ziyada versatile filmy singer the,positive,50
bollywood ke style icon shahrukh khan sirf naam ke hi king aur badshah nahi balke wo caroron madahon ke dilon par raj bhi karte hain,positive,132
un ki muskurahat se le kar style statement tak har cheiz jese perfect hai aur dilchasp baat ye hai ke wo na sirf aik kamyab adakar hain balke aik kamyab producer aur mezban bhi hain,positive,181
mini screen ke junior artist se le kar global icon banne tak unhon ne har shobe mein shuhrat aur kamyabi hasil ki chahe wo koi stage show ho ya film press conference ho ya kisi benul qawami university mein ki jane wali taqrir,positive,225
shahrukh khan kisi bhi moqe par nazireen ko lutf indoz karne mein nakaam nahi howae aur agar in tamam baton ke elawa un ke style statement par nazar dali jaye to pata chalta hai ke wo bhi un ki tarah hi anokha hi hai,positive,216
main rozana inhi kapron mein hota hun albata joton ke mamle mein meri makhsos pasand hai wo aramdah hun aur mere peeron ke size se kuch bare hun jahan tak jeans ki baat hai main ne phichle panch saalon se koi jeans nahi kharidi,positive,227
to agar aap kabhi mujhe phathi hoi jeans pehne dekhein to ye nahi samjhiye ga ke ye koi naya fashion hai ya designer jeans hai balke wo to purani ho kar esi ho jati hain,positive,169
aur mere khayal mein job hi ye zabardast combination pehan le wo fashion icon hai,positive,81
mujhe nahi lagta ke aik hi jote bar bar pehnne mein koi borai hai,positive,65
mujhe jote kharidne ka shoq hai magar koi si do joriyan hi bar bar pehanta hun,positive,78
main to aik hi jori us waqat tak istemal karta hun jab tak wo kharab na ho jayein,positive,81
mujhe dhehli dhali t shirts aur jeans pasand hain,positive,49
jis ki wajah se un ke dil mein adakari ke bare mein dilchaspi paida hoti gai,positive,76
us ke bad filmon mein kaam karne se un ka career mustehqam to howa lekin sahi maino mein uhnein film gia se maqboliyat hasil hona shuru hoi,positive,139
jis ke bad un ki fimon ki kamyabi ka silsila shuru ho gaya,positive,58
hells kitchen playing by hearts aur the bone collector un ki lagatar kamyab filmen thein,positive,88
mein computer game tomb raider par bane wali film lara corft tomb raider mein lara corft ka kirdar ada karne ke bad un ki maqboliyat mein herat angez izafa howa aur unhein action heroin ke tor par jana jane laga,positive,211
isi film ke secovil mein bhi angelina jolie ka kirdar bohat pasand kiya gaya,positive,76
action filmon mein un ki mr and mrs smith wanted salt aur johnny depp ke muqable mein film tourist sab se ziyadah qabil e zikar hain,positive,132
angelina jolie sirf aik kamyab adakara hi nahi balke insan dost shakhsiyat ki bhi malik hain,positive,92
in ke falahi kaamon ki aur bosnia ki jangi qadiyon ke leye kaamon ki wajah se unhein united nations ke high commissioner baraye panah guzeen ne unhein apna khair sagali safeer muqarar kiya tha,positive,192
angelina jolie ne iraq combodia aur afghan muhajreen ke leye bhi bohat kaam kiya aur un ki bahali ke leye record funds jama kiye,positive,128
angelina jolie bar pakistan bhi aachuki hain pheli bar mein zalzala zadgan ki amdad ke leye jab ke dosri bar selab zadgan ki madad ke leye mein aai thein,positive,153
is ke elawa angelina jolie ne duniya bhar ke qehat zadgan aftad ke leye bhi bohat kaam kiya,positive,91
se wo siyasi satah par bhi america mein falahi kaamon mein sar garm hain,positive,72
hollywood ki kai adakaraon ki tarah jolie li zaidagi mein bhi kai afrad se taluqat rahe hain,positive,92
un ke bache hain jab ke unhon ne bache god bhi liye hain,positive,56
angelina jolie ki zindagi ke kai phelo hain lekin unhein khas tor par insan dost adakar ke tor par jana jata hai,positive,112
pakistan ki filmi sanat mein aur ki dehayon ko baja tour par waheed murad ka zamana qarar diya ja sakta hai ager chay iss dour mein santos darpan sudheer eajaz habib aur bad mein mohammed ali aur nadeem ne hi apni adakari ke jouhar dekhye lakin un mein se kio actor woh dastani hasiat ikhtiyar na ker saka jo waheed murad ko hasil hue,positive,334
shayad iss liye ke waheed murad ki zati kahani aik mokammal aur kamyab almeay kay tamam anasir khud mein samoye huye hain,positive,121
to kiya deegar hum asar actors ki zati zindagi mein koi dramai pehloo nahein thamohammed ali radio pakistan hyderabad pe mahaz aik sada kar they zina ba zina taraqi ki manzilein tay ker tey aur badey mokhalif ki tandi se mardana war moqabla ker te huye aik din intehai shan o shaukat se parda e semein par namudar huye kiya yeh aik daramai kahani nahein hainazir baig ko karachi lahore pindi kahein bhi radio ne ghas na dali aur unhein bharat par ker ke dhakey jana para jahan haftey mein aik adh bar radio par gazal ganey ka moqa mil jata tha lakin jab bharat kar ihtesham ki nazr e karam iss noujawan par pari to film chakori wajood mein aie aur wahi naujawan raton rat pakistan ka hero number wan ben geya jisey,positive,714
ab ham nadeem key nam se jantey haien to keya nadeem ki dastan e hayat dilchasp nahein hayyaqinan yeh dono kahanyan jaddo jahad aur kamyabi ki azeem misalein haien jabkey waheed murad ko na to studio pahochney key leyeh kabhi bason aur rekshon mein dhakkey khaney parey aur na hi mangney key leyeh directron key der peyhazri deni pari woh to soney ka chamcha munh mein ley ker paida huey they aur apnay walid ki badaulat bees baras ki umer mein hi filmon key taqseem kar bun chukey they,positive,486
baras ki umer mein woh chocolate hero ki shohrat ka maza cakh chukey they aur baras ki umer mein unhein pakistan ki pehli palatenium jubli ke kahani kar hero aur producer hone ka ajaz mil chukka tha,positive,198
jo shaks zindagi ki sari kamyaban moqadder mein likhwaney ke bad iss duniya mein aya ho aur jisey shuhrat amm ki manzil tek pahonchney ke liyeh aik tinka na hilana paraho uski bazahir sedhi aur sapat zindagi mein awam ko kiya dilchspi ho sakti thilakin haqeeqat yeh hay key apnay maddahon ki jetni bari khaip waheed murad ne tayar ki woh pakistan key kisi hero ko naseeb nahein hue yeh wahid hero tha jiskey maddahon ne monazzim hoker fan club tashkeel deay aur ajj is ski mout key itney baras bad bhi yeh maddah uski yad mein ijtemat ker tey haien uski filmon key khasusi show muaqid karatey haien uski qaber par hazri detey haien aur uskey nam par film award jari ker tey haien,positive,679
waheed murad key walid nisar murad karachi mein kamyab distri bauter they mein waheed murad ne karachi university se ma english kiya aur uskey bad walid key karobar mein purey tour par shareek hotey huay apni pehli film aulad ka agaz keya jis key director sm yousuf they aur adakaron mein nayar sultana aur darpen shamil they waheed murad nay iss film mein aik roll bhi ada keya lakin in ki adakari key asal jaouher tab khuley jab un key dost parvaiz malik amrica se film sazi ka diploma ley ker lautey aur unhon nay waheed murad ki film heera aur patther ki hedayat kari key faraiz sanbhal leyeh,positive,596
iss film mein waheed murad nay aik gadah gari waley ka kirdar ada keya jo key zaiba ki mohabbat mein giraftar ho jata hay film ko zaberdast kamyabi hasil hue aur waheed murad ko key behtareen adakar ka nigar award hasil hua,positive,223
film arman nay box office pe kamyabi key tamam guzashta record tor deay yeh pakistan ki pehli film thi iss ka geet akelay na jana aur ko ko korina gali gali gunaya janey laga,positive,174
waheed murad kam mangney key leyeh apnay puraney doston key pas to nahein gaey lakin issi dauran unka purana pathan driver aur ghareloo mulazim badar monir pashto filmon ka maroof star ban chukka tha balkey apni filmein bhi prodece ker raha tha namak halal molazim nay puraney malik se wafadari ka mozahra ker tey huey usey apni pashto film pakhtun pa wilayat kamba mein kam deya jo waheed murad ne qabool ker leya,positive,414
johnny depp ko baja taur par filmy duniya ka kamao poot qarar diya ja sakta hai wo na sirf films ki kamiyabi ki alamat samjhe jate hain bal ke khus bhi sab se ziyada muaawza lene wale artists ki suff mein shamil hain,positive,216
johnny depp apne fankarana salahiyaton ke balbotey par ab tak golden globe aur screen actors guild award samait mutaddid aezazaat hasil kar chuke hain,positive,150
shakhsi sehar ke lihaaz se bhi johnny depp kisi dosri celebrity se piche nahi,positive,77
people magazine ne aur mein inhe purkashish tareen mard qarar diya tha,positive,70
mein johnny depp ko maqbool tv show jump street mein kaam karne ka mauqa mila jis ke bad kamiyabiyon ke darwazey in par khulte he chale gaey,positive,140
lorry ne he apne sabiq boy friend actor nicholas cage ke zariye johnny depp ko filmy duniya mein mutarrif karwaya tha,positive,117
ustaad nusrat fateh ali khan ne apni tamam umar qawali ke fun ko seekhne aur use mashriqomaghrib mein maqbool aam banana mein sarf kar di,positive,137
inho ne soofiyaekaram ke peyghamat ko duniya ke kone kone tak pohnchaya aur un ke faiz se khud unhe bepanah shohrat nasib hui,positive,125
pakistan mein nusrat fateh ali khan ka pehla tarruf apne khandan ki riwayati rang mein gaai hui in ki ibtedai qawaliyon se hua,positive,126
bad mein unho ne lok shaiyri aur apne hum asar shora ka kalam apne makhsoos andaaz mein ga kar mulk ke andar kamiyabi ke jhandey garhe aur us daur mein sun charkhe mithi mithi mithi kok mahi meyno yaad awanda aur sanson ki mala pe simron mein pee ka naam ne aam taur par qawwali se lagao na rakhne wale tabqey ko apni taraf raghib kiya aur yun nusrat fateh ali khan ka halqa asarowasee tar ho gaya,positive,397
nusrat fateh ali khan sahi maeyno mein shohrat ki bulandiyon par us waqt pohnche jab peter gabriel ki mauseeqi mein gaai gai,positive,124
lekin kehte hai nusrat fateh ali khan ne apne walid ki wafat ke din bad he unhe khuwab mein dekha jis mein unho ne nusrat ko gaeyki ki takeed ki,positive,144
us waqt nusrat fateh ali khan ki umar baras thi aur yun bator qawwal wo dunyaemauseeqi mein mutarif hue,positive,103
in ki shuru ke salon ki gaeyki tasawwuf ke peyghamat se bharpor rahi,positive,68
shaiyri se le kar mauseeqi tak in ki qawwali ka har juz samaa ki mukhtalif mehfilon mein ja kar is rohani kefiyat se faiziyab hui,positive,129
is barey mein bharat ke mashoor filmsaaz aur mauseeqar muzaffar ali kehte hain ke nusrat ki awaz dilon mein ghar kar jati thi mashriq ho ya maghrib hindustan ho ya pakistan in ki awaaz ne tamam sarhaden torh di thi,positive,214
nusrat fateh ali khan ne qawwali mein jiddat la kar maghrib mein barhe peymane par is sanaf ko mutarif karwaya aur is ke sath sath maghrib ke naamwar mauseeqaron ke sath mil kar apne fun ka muzahira kiya,positive,203
kya is se in ki asal sanaf par koi asar parha muzaffar ali ka kehna tha ke qawwali mein bajne wale tamam saaz aik rang ya mizaj mein dhale hote hain un par izafi saaz dalna zabardasti dosra libas pehnane ke mutaradif hai,positive,220
in ke aik maghrabi maddah ne aik dafa kaha tha ke nusrat ki gaeyki ap ko dawat deti hai chupke se kaan laga kar is guftugo ko sunne ki jo aik bandey air us ke rab ke darmiyan hoti hai,positive,183
apne rab ke huzoor nazrana pesh karne kea mal lekin nusrat ko sunte hue hum mehaz aik bande aur us ke rab ki guftugo anhi sunte bal ke un ki gaeyki ka asal jado he yeh hai ke hamare dil in ki gaeyki ke utar charao ke sath dharakne kagte hain,positive,241
in ke gaeyki mein zam ho jate hain aur hum rab ke huzoor us nazrane ke hissa ban jate hain wo gaeyki mein rab se guftugo karte hain aur humen bhi apne rab se hum kalam kar dete hain,positive,181
speilberg abhi teen ager he the ke inho ne apne doston ke sath mil kar aik mm adventure movie shauqiya taur par banai thi,positive,121
mein wo scout boy ban gae aur us dauran minute ki mm the last gun fight bana kar photography merit badge hasil kiya,positive,115
inho ne scout master se pocha ke agar wo yeh kaam apne walid ki movie camera se kar len to kaisa rahega inhe ijazat mil gai ghaliban yehi in ki direction ke career ka nuqta aaghaz the,positive,183
baras ki umer mein spielberg ne wartonowear naami minute ki film bana kar apna pehla award jeeta,positive,96
baras ki umer mein inho ne apni pehli minute ki science fiction film fire light ki kahani likhi aur is ki direction bhi ki,positive,122
jise maqami cinema mein numaiysh ke liye pesh kiya gaya aur is se dollar ka munafa hasil hua,positive,92
isi kamiyabi se mutassir ho kar steven spielberg ne film close encounter banai jis ne box office par acha business kiya,positive,119
graduation karne ke sath he inho ne eagle scout ka rank bhi hasil kar liya,positive,74
apne bachpan ke barey mein in ka kehna hai ke wo awail umer he se pukhta mazhabi aqaiyd rakhte the,positive,98
usi waqt tak in ka kaam mehaz shauqia samjha ja raha tha,positive,56
yeh pehli baqaida commercial film thi jis ki kahani bhi inho ne khud he likhi thi,positive,81
yeh film box office par super hit sabit hui aur inhe pehli bar behtareen director ke academy award ke liye nominate kiya gaya,positive,125
is ke bad spielberg ne pehli jang e azeem par banne wali film ki direction ki,positive,77
yeh film bhi blockbuster sabit hui aur yun spielberg ne kamiyabi ki shahrah par aise safar ka aaghaz kiya,positive,105
jo tahaal pori raftaar ke sath jari hai,positive,39
ibtedai daur mein spielberg ne apne walid ki jangi kahaniyon se mutassir ho kar dosri aalamgeer jang ke hawale se bhi kae films banai,positive,133
jis ki kamiyabi ke bad inhe science fiction films ka mustanid director samjha jane laga,positive,87
tahum inho ne khud ko sirf science fiction films tak he mehdood nahi rakha bal ke har mauzoo par filmy stories likhin direction ki aur kuch films produce bhi ki,positive,160
steven spielberg samaji o falahi sargarmiyon mein bhi barh charh kar hissa lete hain,positive,84
jinhe bilamoom saraha jata hai,positive,30
in mein se beshtar bpx office par kamiyab rahi hain,positive,51
jo misaal ke taur par shark fishes ya dinosaurs ke muqabley mein kahi ziyada sanjeeda mauzoaat ka aahata karti hain,positive,115
hum baaz auqaat aam dagar se hat kar apni nakamiyon se bhi waisi he mohabbat kar sakte hain jaisi ke kamiyabiyon se karte hain,positive,126
is liye ke hum kamiyabi ke muqabley mein apni nakaami se kahi ziyada sabaq seekh sakte hain,positive,91
mujhe paisa banane se nahi films banane se dilchaspi hai,positive,56
aap behtareen kaam kijiye paisa khud chal kar aap ke paas aaega,positive,63
is ke piche in ki barson ki mehnat aur gher mamooli salahiyatein hain,positive,69
inho ne bilashuba apne mulk ki filmy history par gehre naqoosh murattab kiye hain aur in ke zikar ke bagher yeh tareekh mukammal nahi ho sakti,positive,142
khud shahrukh khan ka is silsile mein yeh kehna hai ke major general shahnawaz in ke walid ke azeez the,positive,103
wo batate hain ke in ke waldain ki mulaqat khasey filmy andaaz mein hui thi,positive,75
walid sahib ne inhe na sirf hospital pohanchaya tha bal ke in ki jaan bachane ke liye khoon bhi diya tha,positive,104
is accident ke badaulat hone wali shanasaai ka natija shadi ki soorat mein nikla,positive,80
walid se in ki qurbat aur wabistagi bohat gehri thi,positive,51
in ke inteqal ke sadmey ki shiddat apni jagah thi lekin isi saneha ki badaulat unho ne apne balbotey par zindagi guzaarne ka hunar seekh liya,positive,141
jis mein wo khasey kamiyab rahe,positive,31
jis ke tehat wo kae kamiyab films bana chuke hain,positive,49
shahrukh khan falahi kamon aur imdadi sargarmiyon mein bhi hissa lete hain,positive,74
khas taur par hospitals ko shahrukh khan bhari donations dete hain,positive,66
shahrukh khan sirf apne mulk mein he nahi bal ke bohar se deegar mumalik mein bhi bohat maqbool hain aur india mein box office par inhe number one samjha jata hai,positive,162
shahrukh khan ki kamiyab tareen films ke naam yeh hain,positive,54
inhe bachpan se he singing ka shauq tha,positive,39
is awaaz ki kashish inhe kasha kasha sath wale ghar le gai jahan bachiyan apne ustaad se gana seekh rahi thin,positive,109
kamsin iqbal bano chup ke se jaa kar is class mein beth gai aur ustaad ki awaaz ke sath awaaz milana shuru kar di,positive,113
ustaad kehen lage yeh ladki agar singing seekh le to bohat acha gaegi,positive,69
tab iqbal bano ke shauq ko ustaad ki raae ne jilaa bakhshi aur inho ne apne aehal e khana se kaha mujhe gana seekhna hai,positive,120
aehal e khana ne jab yeh dekha ke iqbal bano ke is shauq ki wajah se in ki parhai mutassir ho rahi hai to inhe singing ki mashroot ijazat dete hue radio station par bachon ke program mein le jaya gaya,positive,200
jab khandaan iqbal bano ke shauq ki raah mein mazeed rukawat na bana aur inho ne ustaad chand khan se classical singing ki baqaida tarbiyat leni shuru ki,positive,153
dono ustadon se thumri aur daadra samait classical singing ki barikiyon se aagahi hasil ki,positive,90
yehi wajah hai ke iqbal bano ke gaae hue geeton aur ghazlon mein classical rang numayan nazar aata hai,positive,102
inqelabaat zamana ne iqbal bano ki awaaz ko kabhi mutassir nahi kiya bal ke mazeed nikhaar diya tha,positive,99
wo apni zindagi ke aakhri saal tak gaati rahin aur daad samait ti rahin,positive,71
taqseem hind ke kuch arsey bad wo shadi kar ke pakistan aa gai aur phir yahan inho ne radio film aur tv ke liye apni awaaz ka jadoo jagaya,positive,138
jab film walon ne iqbal bano ki classical awaaz suni to in se rujoo kiya aur film ke liye gaane ki baqaida dawat di,positive,115
tab aik sadabahar geet ne janam liya,positive,36
tu laakh chale ri gori tham tham k film gumnaam ke is geet ke bad aik aur maqbool tareen geet iqbal bano ki awaaz se jawidaan hua,positive,129
ulfat kin ae manzil ko chala tu bahein daal ke baahon mein anwar kamal pasha ki in dono films ki kamiyabi mein iqbal bano ki awaaz ka bohat dakhal tha,positive,150
is ke bad iqbal bano ke pas films ki line lag gai lekin inho ne sirf muntakhib geet gaane ko tarjeeh di,positive,103
isi liye inho ne films mein kam gaya lekin khob gaya,positive,52
iqbal bano ne film ke liye kae khobsurat aur yaadgar naghme gaae,positive,64
jin ka shumar sadabahar geeton mein hota hai,positive,44
film ishq laila ke geeton ne to har taraf dhoom macha di thi,positive,60
is film ke liye iqbal bano ne mausiqar safdar hussain ka compose kiya hua yaadgar geet gaya,positive,91
sitaron tum to sou jao paresha an raat sari hai sapaid rangat aur dilkash naqosh ki malik iqbal bano ka ghazal aur thumri gaane ka apna khas andaaz tha jo inhe deegar gaane walon se mumtaz karta tha,positive,198
rasio par iqbal bano ne usatza ki ghazlen gaane ko tarjeeh di,positive,61
yun to iqbal bano ne barhe barhe shoara ka kalaam gaya magar mayanaz poet faiz ahmed faiz ki nazmon aur ghazlon ko inho ne is kamaal maharat ke sath gaya ke sunne walon par sehar taari ho jata tha,positive,196
faiz ki is famous nazam ko iqbal bano ne khud he compose kiya aur itne khobsurat o dilkash andaaz mein gaya ke in ke naam ko zinda rakhne ke liye yehi kafi hai,positive,159
dasht e tanhai mein ae jaan e jahan larza an hain teri aaghosh ke saaey tere honton ke saraab phir faiz ahmed faiz ki aik aur maqbool aam nazam,positive,143
hum dekhenge lazim hai ke hum bhi dekhenge jab takht giraae jaenge jab taaj uchale jaenge in nazmon ko apni khobsurat aur munfarid awaaz mein gaa kar iqbal bano ne amar kar diya aur khud bhi amar ho gai,positive,202
daagh dil hum ko yaad aane lage log apne diye jalane lage is ko iqbal bano ne itne dilkash andaaz mein gaya ke is mein chaar chand laga diye,positive,140
iqbal bano ka aik yaadgar musical concert jaipur mein hua tha jab wo saarc ke tehat saqafti wafood ke tabadley ke hawale se pehli baar india gai thin,positive,149
jaipur mein bohat barha auditorium tha october ka month tha sardi thin a garmi barha acha mausam tha,positive,100
ab ke saawan ghar aa ja mera gana jari tha ke achanak barish ki boondein parhna shuru ho gai,positive,92
mujhe aisa laga ke jaise moti tapak rahe hain,positive,45
isi asnaa mein announcer ki awaaz sunai di jo keh raha tha ke pehle suna he suna tha lekin aaj hum dekh rahe hain ke meghraj mein iqbal bano thumri gaa rahi thin ke barish ho gai,positive,178
iqbal bano ko classical aur neem classical bilkhusoos mere watan ke naujawan watan ke geet gaae jaa aur yeh apni zameen yeh apna watan sooraj ki tarah roshan roshan apni misaal aap hain,positive,185
agar sawal kiya jae ke pakistan ke kisi fankaar ka naam batae jise radio television aur film ke hawale se aalmi shohrat hasil hai to jawab mein hamare paas sirf aik naam hai aur wo hai zia mohyeddin,positive,198
